id,label,keyframes
signer0_sample239,47,"[26, 34]"
signer0_sample240,77,"[30, 40, 46]"
signer0_sample241,164,"[18, 22, 28]"
signer0_sample242,78,"[9, 18, 22, 26, 30]"
signer0_sample243,219,"[25, 29, 34]"
signer0_sample244,128,[25]
signer0_sample245,14,"[22, 27, 41, 47]"
signer0_sample246,94,"[18, 22]"
signer0_sample247,3,"[21, 25, 38, 43, 47, 51]"
signer0_sample248,104,"[23, 30, 46, 51, 55, 59, 65, 69]"
signer0_sample249,82,"[18, 22, 31]"
signer0_sample250,35,"[9, 19, 28, 38]"
signer0_sample251,225,"[20, 25, 29, 36, 42]"
signer0_sample252,198,"[21, 25]"
signer0_sample253,207,"[19, 23, 28, 32, 38]"
signer0_sample254,171,"[23, 27, 31]"
signer0_sample255,65,"[25, 30]"
signer0_sample256,73,[20]
signer0_sample257,44,"[20, 24, 35]"
signer0_sample258,15,"[23, 27, 34, 38]"
signer0_sample259,112,"[22, 31]"
signer0_sample260,39,[27]
signer0_sample261,21,"[12, 24, 37, 49]"
signer0_sample262,73,"[25, 29, 33]"
signer0_sample263,208,"[18, 23, 28, 33]"
signer0_sample264,166,"[17, 21, 28]"
signer0_sample265,115,"[38, 54, 58, 62, 66, 70]"
signer0_sample266,24,"[20, 24, 28, 34]"
signer0_sample267,98,"[21, 25, 29, 34, 38, 46, 50]"
signer0_sample268,70,"[26, 30, 35]"
signer0_sample269,180,"[27, 31, 35, 39, 43]"
signer0_sample270,157,"[20, 28, 35]"
signer0_sample271,132,"[16, 20, 24, 39, 43]"
signer0_sample272,167,"[22, 30, 47, 51, 57]"
signer0_sample273,63,"[25, 29]"
signer0_sample274,67,"[20, 26, 30, 46]"
signer0_sample275,50,"[12, 23, 35, 46]"
signer0_sample276,1,"[19, 25, 31]"
signer0_sample277,216,"[20, 24, 31, 36]"
signer0_sample278,184,"[19, 23, 32, 36]"
signer0_sample279,64,[21]
signer0_sample280,68,[40]
signer0_sample281,63,[23]
signer0_sample282,110,[23]
signer0_sample283,152,[17]
signer0_sample284,68,"[12, 24, 36, 48]"
signer0_sample285,179,"[16, 33, 41]"
signer0_sample286,124,"[16, 21, 28, 32, 36, 41]"
signer0_sample287,180,"[25, 29, 33]"
signer0_sample288,121,"[23, 34]"
signer0_sample289,156,"[17, 21, 25, 30, 35, 40, 44]"
signer0_sample290,26,"[28, 32]"
signer0_sample291,143,"[16, 21, 25, 29, 34]"
signer0_sample292,101,"[16, 30]"
signer0_sample293,182,"[33, 37]"
signer0_sample294,140,[42]
signer0_sample295,34,"[9, 18, 26, 35]"
signer0_sample296,81,"[20, 36]"
signer0_sample297,188,"[16, 20, 24]"
signer0_sample298,132,"[16, 33, 37]"
signer0_sample299,63,"[23, 27, 31]"
signer0_sample300,88,"[29, 33, 39, 47, 51, 58, 62]"
signer0_sample301,47,"[26, 30, 36]"
signer0_sample302,172,"[22, 26, 38]"
signer0_sample303,78,"[19, 24, 28, 32, 36]"
signer0_sample304,188,"[18, 22]"
signer0_sample305,199,"[18, 25, 29, 33]"
signer0_sample306,31,"[26, 46, 50, 54]"
signer0_sample307,79,"[21, 28, 35]"
signer0_sample308,138,"[20, 37, 41, 50, 54]"
signer0_sample309,120,"[22, 26, 30]"
signer0_sample310,187,"[20, 27, 31]"
signer0_sample311,162,"[21, 25]"
signer0_sample312,38,"[19, 23, 27, 31, 35, 39]"
signer0_sample313,16,[22]
signer0_sample314,103,"[15, 22, 26, 31]"
signer0_sample315,137,"[23, 30]"
signer0_sample316,50,"[37, 42, 47]"
signer0_sample317,111,"[19, 23, 27, 32]"
signer0_sample318,62,"[19, 23, 27, 31, 36, 40, 44, 48]"
signer0_sample319,51,"[19, 33]"
signer0_sample320,199,"[18, 22, 27, 31]"
signer0_sample321,59,"[23, 39]"
signer0_sample322,56,"[23, 28, 40, 46, 55]"
signer0_sample323,60,"[23, 30, 37, 42]"
signer0_sample324,126,"[18, 22, 27, 33, 37, 42]"
signer0_sample325,125,"[18, 30]"
signer0_sample326,87,"[20, 26]"
signer0_sample327,154,"[18, 23, 27]"
signer0_sample328,114,[26]
signer0_sample329,183,"[18, 22, 27, 35, 39]"
signer0_sample330,35,"[11, 22, 32, 43]"
signer0_sample331,104,"[23, 43, 47, 55, 59]"
signer0_sample332,84,"[20, 29]"
signer0_sample333,177,"[21, 25]"
signer0_sample334,220,[18]
signer0_sample335,93,"[21, 28]"
signer0_sample336,179,"[19, 23, 27, 32, 47, 64]"
signer0_sample337,205,"[21, 36, 41]"
signer0_sample338,63,[29]
signer0_sample339,43,"[22, 29, 35]"
signer0_sample340,25,"[26, 31, 39, 43, 47, 52, 56, 60]"
signer0_sample341,7,"[22, 27, 31, 35, 39]"
signer0_sample342,60,"[22, 30, 35, 41]"
signer0_sample343,88,"[33, 37, 42, 50, 56, 60]"
signer0_sample344,183,"[18, 22, 26, 33, 37]"
signer0_sample345,141,"[17, 24, 31, 35, 39]"
signer0_sample346,174,"[18, 22, 26, 30, 44, 49, 55, 60]"
signer0_sample347,222,"[11, 21, 32, 42]"
signer0_sample348,168,"[17, 22, 27, 33, 40]"
signer0_sample349,49,"[21, 27, 31, 35, 39, 43, 49]"
signer0_sample350,76,"[19, 23, 32]"
signer0_sample351,68,[41]
signer0_sample352,37,"[24, 32]"
signer0_sample353,112,"[21, 29, 33, 37]"
signer0_sample354,126,"[16, 20, 30]"
signer0_sample355,207,"[21, 25, 31, 37, 43]"
signer0_sample356,37,"[17, 21, 25, 29]"
signer0_sample357,60,"[28, 35, 40]"
signer0_sample358,56,"[27, 31]"
signer0_sample359,15,"[19, 23, 30]"
signer0_sample360,123,"[21, 25, 31, 35]"
signer0_sample361,88,"[31, 43, 47, 53, 57, 61]"
signer0_sample362,185,"[16, 20, 24, 28, 32, 36, 40]"
signer0_sample363,182,[30]
signer0_sample364,133,"[16, 23]"
signer0_sample365,224,"[18, 26, 32]"
signer0_sample366,166,"[15, 21, 30]"
signer0_sample367,66,[17]
signer0_sample368,210,"[17, 25, 35, 40]"
signer0_sample369,70,"[12, 30]"
signer0_sample370,20,"[21, 25, 29]"
signer0_sample371,123,"[22, 26, 30]"
signer0_sample372,18,"[23, 27, 31]"
signer0_sample373,156,"[18, 22, 27, 31, 35, 43, 47]"
signer0_sample374,204,[19]
signer0_sample375,113,[19]
signer0_sample376,89,"[19, 24, 28]"
signer0_sample377,186,"[17, 29, 34, 38]"
signer0_sample378,140,[24]
signer0_sample379,125,"[14, 18, 22, 26, 33, 50, 57]"
signer0_sample380,27,"[18, 27, 35, 43]"
signer0_sample381,155,"[25, 32, 40]"
signer0_sample382,126,"[19, 23, 27, 31, 35, 40, 44]"
signer0_sample383,123,"[20, 25, 29, 33]"
signer0_sample384,190,"[20, 24, 30, 34]"
signer0_sample385,199,"[18, 22, 26, 31]"
signer0_sample386,126,"[16, 20, 30]"
signer0_sample387,193,"[23, 27, 31, 35]"
signer0_sample388,135,"[18, 23, 29, 33, 38, 43, 48, 52]"
signer0_sample389,161,"[22, 29, 33]"
signer0_sample390,15,"[20, 24, 29, 33, 38]"
signer0_sample391,74,[45]
signer0_sample392,84,"[19, 26, 30]"
signer0_sample393,76,"[18, 22, 26]"
signer0_sample394,40,[25]
signer0_sample395,106,"[17, 21]"
signer0_sample396,223,"[34, 38]"
signer0_sample397,107,"[33, 43, 47]"
signer0_sample398,220,"[20, 25, 36, 40, 44]"
signer0_sample399,167,"[21, 25, 32, 46, 51, 55, 59, 63]"
signer0_sample400,187,"[21, 25, 30, 38]"
signer0_sample401,50,"[23, 44]"
signer0_sample402,25,"[25, 34, 39, 47]"
signer0_sample403,163,"[20, 24, 29, 33, 37, 41]"
signer0_sample404,77,"[23, 33]"
signer0_sample405,94,"[19, 24]"
signer0_sample406,108,[36]
signer0_sample407,210,"[20, 24, 35, 39, 43, 47, 51]"
signer0_sample408,54,"[20, 29]"
signer0_sample409,191,"[34, 38, 45]"
signer0_sample410,58,[43]
signer0_sample411,163,"[21, 25, 38]"
signer0_sample412,72,"[24, 44, 49]"
signer0_sample413,23,[27]
signer0_sample414,108,"[9, 19, 28, 38]"
signer0_sample415,209,"[18, 22, 27]"
signer0_sample416,147,"[19, 23, 34, 40, 44, 48, 52, 56]"
signer0_sample417,157,"[16, 24, 28, 32]"
signer0_sample418,138,"[18, 28]"
signer0_sample419,22,"[18, 26, 31]"
signer0_sample420,120,"[21, 25, 31, 37]"
signer0_sample421,17,"[24, 28, 32, 36, 40, 44]"
signer0_sample422,194,[32]
signer0_sample423,197,"[16, 20, 27, 34, 38]"
signer0_sample424,208,[20]
signer0_sample425,197,"[21, 25, 32]"
signer0_sample426,40,"[23, 31, 38]"
signer0_sample427,25,"[27, 31, 39, 43, 56]"
signer0_sample428,145,"[23, 27, 33, 38, 42]"
signer0_sample429,134,"[18, 22, 29, 39]"
signer0_sample430,96,"[24, 30]"
signer0_sample431,0,"[21, 26, 39]"
signer0_sample432,77,"[28, 42, 46]"
signer0_sample433,29,"[20, 31]"
signer0_sample434,6,"[24, 35, 39, 43]"
signer0_sample435,190,"[19, 23, 27, 31, 35, 39, 43, 47]"
signer0_sample436,74,"[22, 52, 56]"
signer0_sample437,117,"[19, 25, 29, 37]"
signer0_sample438,185,"[16, 21, 25, 30, 34, 39, 44]"
signer0_sample439,28,"[23, 27, 39]"
signer0_sample440,93,"[22, 30, 34]"
signer0_sample441,143,"[20, 24, 28, 32, 36]"
signer0_sample442,181,"[21, 35]"
signer0_sample443,155,"[11, 22, 33, 44]"
signer0_sample444,21,"[10, 21, 31, 42]"
signer0_sample445,17,"[21, 25, 29, 33]"
signer0_sample446,135,"[19, 23, 27, 31, 35]"
signer0_sample447,56,"[21, 28, 38, 42, 50, 55]"
signer0_sample448,96,[22]
signer0_sample449,223,"[24, 28, 32]"
signer0_sample450,83,"[17, 22, 51, 56]"
signer0_sample451,212,"[23, 34, 38]"
signer0_sample452,143,"[20, 24, 29]"
signer0_sample453,1,"[22, 29]"
signer0_sample454,137,"[27, 32]"
signer0_sample455,70,[29]
signer0_sample456,21,"[10, 20, 29, 39]"
signer0_sample457,195,"[18, 22, 26, 30, 38, 42, 46, 55]"
signer0_sample458,102,"[27, 45, 50]"
signer0_sample459,29,"[20, 25, 33]"
signer0_sample460,166,"[15, 20, 24, 28, 32]"
signer0_sample461,109,"[15, 32, 37]"
signer0_sample462,180,"[27, 31, 35]"
signer0_sample463,31,"[26, 42]"
signer0_sample464,46,"[22, 36, 45, 52, 56, 60]"
signer0_sample465,4,"[23, 27, 32, 44, 60]"
signer0_sample466,13,"[24, 28, 33, 37, 41, 46]"
signer0_sample467,173,"[19, 28, 32]"
signer0_sample468,91,"[21, 39]"
signer0_sample469,153,"[13, 25, 29, 36]"
signer0_sample470,135,"[18, 23, 27, 33, 38]"
signer0_sample471,71,"[21, 25, 29]"
signer0_sample472,9,"[22, 26]"
signer0_sample473,91,"[21, 40]"
signer0_sample474,9,"[21, 25, 31, 41]"
signer0_sample475,82,"[19, 23]"
signer0_sample476,100,"[18, 28, 34]"
signer0_sample477,16,"[21, 25]"
signer0_sample478,214,"[23, 27, 33, 43, 47, 51, 55]"
signer0_sample479,117,"[26, 33]"
signer0_sample480,84,[20]
signer0_sample481,45,"[21, 25, 29, 33]"
signer0_sample482,145,"[30, 34, 38]"
signer0_sample483,86,"[17, 28]"
signer0_sample484,133,"[20, 32]"
signer0_sample485,200,"[17, 21, 25, 29, 33, 37, 43]"
signer0_sample486,61,"[20, 24]"
signer0_sample487,11,"[10, 20, 31, 41]"
signer0_sample488,15,"[19, 37]"
signer0_sample489,118,"[18, 43]"
signer0_sample490,24,"[20, 25, 33]"
signer0_sample491,164,"[20, 25]"
signer0_sample492,8,"[26, 30]"
signer0_sample493,216,"[19, 25, 29]"
signer0_sample494,149,"[11, 22, 32, 43]"
signer0_sample495,115,"[42, 48]"
signer0_sample496,201,"[14, 28, 41, 55]"
signer0_sample497,178,"[20, 26, 30]"
signer0_sample498,22,"[22, 26, 33, 39]"
signer0_sample499,87,"[19, 23, 27, 36, 40]"
signer0_sample500,121,"[17, 21, 26, 30, 34, 39]"
signer0_sample501,18,"[28, 33, 37, 42, 46, 50, 65, 71]"
signer0_sample502,100,"[22, 26, 33, 40, 45, 49]"
signer0_sample503,125,"[17, 21, 30, 34, 45]"
signer0_sample504,140,"[11, 22, 33, 44]"
signer0_sample505,106,"[19, 24, 29]"
signer0_sample506,90,[33]
signer0_sample507,3,"[18, 22, 36, 49, 53, 57, 61]"
signer0_sample508,46,"[19, 25, 35, 42, 48]"
signer0_sample509,110,"[26, 30, 38]"
signer0_sample510,122,"[17, 28]"
signer0_sample511,156,"[18, 22, 27, 32, 41, 45]"
signer0_sample512,221,"[20, 31, 35, 39]"
signer0_sample513,128,"[25, 32]"
signer0_sample514,142,"[40, 49, 56]"
signer0_sample515,0,"[24, 28, 41, 49, 53, 61, 65]"
signer0_sample516,32,"[27, 32, 37]"
signer0_sample517,77,"[21, 26, 35, 39]"
signer0_sample518,79,"[18, 36]"
signer0_sample519,177,"[17, 23, 27]"
signer0_sample520,85,"[20, 24, 30, 34, 38]"
signer0_sample521,170,"[24, 28, 37, 41]"
signer0_sample522,136,"[17, 22]"
signer0_sample523,69,"[22, 26, 32]"
signer0_sample524,39,"[31, 35, 39, 63, 67, 71, 75, 79, 84, 88, 92, 97, 102, 106, 110]"
signer0_sample525,153,"[14, 28, 32]"
signer0_sample526,74,[20]
signer0_sample527,26,"[27, 31]"
signer0_sample528,166,"[20, 24, 28, 32]"
signer0_sample529,160,"[19, 23, 27]"
signer0_sample530,57,"[29, 35]"
signer0_sample531,38,"[21, 27, 32, 36, 40, 45, 49, 56, 61]"
signer0_sample532,187,"[21, 25, 35, 40, 44]"
signer0_sample533,54,"[22, 26, 30]"
signer0_sample534,112,"[23, 27]"
signer0_sample535,6,"[24, 39, 43, 47, 51]"
signer0_sample536,223,[38]
signer0_sample537,213,"[8, 17, 25, 34]"
signer0_sample538,200,"[20, 24, 28, 32, 36]"
signer0_sample539,61,"[17, 22]"
signer0_sample540,204,"[19, 23, 29]"
signer0_sample541,211,"[20, 24]"
signer0_sample542,127,"[8, 18, 22, 26, 30]"
signer0_sample543,216,"[22, 26, 30]"
signer0_sample544,148,"[24, 29, 41]"
signer0_sample545,217,"[23, 27, 31, 36]"
signer0_sample546,100,"[18, 23, 27, 31]"
signer0_sample547,50,"[11, 22, 34, 45]"
signer0_sample548,12,"[33, 41]"
signer0_sample549,120,"[24, 28, 32, 36]"
signer0_sample550,123,"[25, 29, 33]"
signer0_sample551,208,"[20, 25]"
signer0_sample552,139,"[21, 25, 32, 38]"
signer0_sample553,202,"[10, 20, 29, 39]"
signer0_sample554,170,"[27, 39, 43]"
signer0_sample555,206,"[16, 21, 26, 31, 35]"
signer0_sample556,39,[25]
signer0_sample557,83,"[23, 39, 55]"
signer0_sample558,218,"[18, 22, 30]"
signer0_sample559,27,"[24, 36, 43, 47]"
signer0_sample560,62,"[19, 23, 27, 31, 35, 39]"
signer0_sample561,130,"[14, 23, 48]"
signer0_sample562,125,"[17, 21, 30, 35, 39, 43]"
signer0_sample563,63,"[24, 28]"
signer0_sample564,114,"[18, 24, 28]"
signer0_sample565,196,"[16, 20, 24, 28, 39]"
signer0_sample566,61,"[16, 20, 26]"
signer0_sample567,209,"[20, 24]"
signer0_sample568,154,"[16, 20, 24, 28, 32]"
signer0_sample569,133,"[20, 25, 35]"
signer0_sample570,150,"[23, 36, 40]"
signer0_sample571,141,"[17, 40, 44]"
signer0_sample572,206,"[15, 21, 27, 31, 35]"
signer0_sample573,220,"[20, 33]"
signer0_sample574,214,"[37, 41, 46, 50, 62, 66, 71, 75]"
signer0_sample575,49,"[21, 25, 31]"
signer0_sample576,43,"[24, 36]"
signer0_sample577,71,"[19, 24]"
signer0_sample578,114,"[19, 23, 27, 34]"
signer0_sample579,66,"[25, 42, 46]"
signer0_sample580,189,"[17, 29, 33]"
signer0_sample581,183,"[17, 22, 26, 33, 37]"
signer0_sample582,42,"[19, 43]"
signer0_sample583,172,"[18, 22, 32, 38]"
signer0_sample584,161,"[17, 21, 27]"
signer0_sample585,198,"[23, 27, 39]"
signer0_sample586,119,[38]
signer0_sample587,165,"[28, 33, 37]"
signer0_sample588,188,"[21, 25]"
signer0_sample589,152,"[18, 25]"
signer0_sample590,15,"[21, 26, 30, 34]"
signer0_sample591,21,"[12, 25, 37, 50]"
signer0_sample592,146,[18]
signer0_sample593,23,"[22, 26]"
signer0_sample594,93,"[21, 25, 29, 36]"
signer0_sample595,195,"[15, 19, 28, 32, 40, 44, 53, 57]"
signer0_sample596,137,"[23, 29, 38]"
signer0_sample597,14,"[22, 33, 37, 41]"
